City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
166,Maniitsoq,65.4167,-52.9,snow,28.45,96,100,16.69,GL
167,Los Llanos De Aridane,28.6585,-17.9182,clear sky,64.15,36,0,9.22,ES
168,Egvekinot,66.3167,-179.1667,clear sky,-17.21,86,3,7.45,RU
169,Airai,-8.9266,125.4092,overcast clouds,66.24,85,100,1.61,TL
170,Dingle,10.9995,122.6711,overcast clouds,77.49,88,100,11.92,PH
171,Rio Gallegos,-51.6226,-69.2181,light rain,57.25,77,75,13.8,AR
172,Petropavlovsk-Kamchatskiy,53.0452,158.6483,clear sky,-1.61,78,0,6.71,RU
173,Road Town,18.4167,-64.6167,scattered clouds,77.09,73,40,13.8,VG
174,Mnogovershinnyy,53.9353,139.9242,light snow,15.22,95,100,3.94,RU
175,Charters Towers,-20.1,146.2667,clear sky,83.07,51,0,10.78,AU
176,Katsuura,35.1333,140.3,scattered clouds,44.19,62,43,11.97,JP
177,Providencia,28.7167,-111.5833,clear sky,89.65,27,0,10.36,MX
178,Pangnirtung,66.1451,-65.7125,overcast clouds,5.0,47,100,6.91,CA
179,Geraldton,-28.7667,114.6,overcast clouds,73.81,83,100,0.0,AU
180,Yenisehir,40.2644,29.6531,clear sky,32.05,93,0,1.14,TR
181,Mugur-Aksy,50.35,90.5,few clouds,-21.19,85,11,5.48,RU
182,Hithadhoo,-0.6,73.0833,overcast clouds,81.14,72,99,8.3,MV
183,Zapolyarnyy,69.4154,30.8136,overcast clouds,22.28,85,98,11.63,RU
184,Jinka,5.65,36.65,overcast clouds,69.73,45,88,1.7,ET
185,Lovozero,68.005,35.0117,light snow,19.94,95,98,8.25,RU
186,Abaza,52.655,90.0928,broken clouds,-17.68,98,60,3.0,RU
187,Matagami,49.7502,-77.6328,snow,10.51,85,100,12.66,CA
188,Mizan Teferi,6.9833,35.5833,broken clouds,69.31,53,80,2.33,ET
189,Lorengau,-2.0226,147.2712,overcast clouds,82.8,75,100,6.58,PG
190,Qasigiannguit,68.8193,-51.1922,overcast clouds,26.85,80,100,9.69,GL
191,Alta Floresta,-9.8756,-56.0861,overcast clouds,73.15,94,99,0.76,BR
192,Ostrovnoy,68.0531,39.5131,overcast clouds,17.06,93,94,9.75,RU
193,Porto Novo,6.4965,2.6036,clear sky,84.02,88,4,6.11,BJ
194,Khatanga,71.9667,102.5,broken clouds,-0.2,82,82,14.27,RU
195,Lata,40.1629,-8.3327,overcast clouds,52.05,95,100,0.92,PT
196,Naze,28.3667,129.4833,overcast clouds,59.92,68,100,12.55,JP
197,Besikduzu,41.052,39.2284,clear sky,40.89,63,0,7.43,TR
198,Novovyazniki,56.1975,42.1711,snow,18.54,96,57,7.02,RU
199,Talnakh,69.4865,88.3972,overcast clouds,-11.58,86,89,9.86,RU
200,Gimli,50.6336,-96.9907,clear sky,-11.18,53,8,10.36,CA
201,Boysun,38.2061,67.1986,overcast clouds,40.95,49,100,3.44,UZ
202,Cabo San Lucas,22.8909,-109.9124,clear sky,75.61,60,0,6.91,MX
203,Paamiut,61.994,-49.6678,overcast clouds,31.26,75,100,23.02,GL
204,Golden,39.7555,-105.2211,snow,35.56,90,100,3.0,US
205,La Primavera,5.4906,-70.4092,overcast clouds,87.87,37,91,5.3,CO
206,Havoysund,70.9963,24.6622,light snow,25.68,57,99,11.7,NO
207,Arlit,18.7369,7.3853,clear sky,63.84,19,1,6.73,NE
208,Evensk,61.95,159.2333,scattered clouds,-8.03,74,34,4.99,RU
209,Tahta,26.7693,31.5021,clear sky,50.11,56,0,5.21,EG
210,Bengkulu,-3.8004,102.2655,overcast clouds,74.05,87,100,4.5,ID
211,Joaima,-16.6542,-41.0306,broken clouds,73.92,77,51,3.09,BR
212,Vagur,61.4732,-6.8119,overcast clouds,39.22,97,100,36.17,FO
213,Husavik,66.0449,-17.3389,overcast clouds,22.91,93,94,8.23,IS
214,Wollongong,-34.4333,150.8833,overcast clouds,74.17,85,99,9.89,AU
215,Avera,33.194,-82.5271,scattered clouds,63.28,57,27,7.38,US
216,Ust-Tsilma,65.441,52.1498,light snow,16.92,93,100,10.09,RU
217,Sorkjosen,69.8,20.9333,overcast clouds,19.44,83,99,10.49,NO
218,Vao,-22.6667,167.4833,light rain,80.83,82,98,15.14,NC
219,Druzhnaya Gorka,59.2761,30.1425,overcast clouds,25.88,92,94,9.24,RU
220,Ribeira Grande,38.5167,-28.7,overcast clouds,60.12,73,100,10.85,PT
221,Ahipara,-35.1667,173.1667,overcast clouds,79.86,80,95,18.81,NZ
222,Sao Filipe,14.8961,-24.4956,broken clouds,78.84,48,56,13.15,CV
223,Jena,50.9333,11.5833,broken clouds,35.65,84,61,4.0,DE
224,Menongue,-14.6585,17.691,overcast clouds,63.27,91,93,2.95,AO
225,Dehloran,32.6941,47.2679,scattered clouds,53.49,80,39,5.12,IR
226,Tabory,58.5198,64.5495,light snow,5.13,94,100,10.78,RU
227,Tessalit,20.1986,1.0114,few clouds,65.28,16,17,4.54,ML
228,Bachaquero,9.9694,-71.1494,broken clouds,82.24,67,57,5.68,VE
229,Khasan,42.4308,130.6434,scattered clouds,22.55,51,35,16.67,RU
230,Ust-Kulom,61.6864,53.6902,overcast clouds,14.2,95,100,7.54,RU
231,Coquimbo,-29.9533,-71.3436,clear sky,69.53,64,0,11.5,CL
232,Saldanha,-33.0117,17.9442,few clouds,64.45,92,15,17.13,ZA
233,Sao Joao Da Barra,-21.6403,-41.0511,overcast clouds,73.18,93,100,9.37,BR
234,San Cristobal,7.7669,-72.225,broken clouds,71.78,80,84,0.38,VE
235,Nouadhibou,20.931,-17.0347,overcast clouds,71.58,46,95,11.5,MR
236,Duma,34.7653,108.135,overcast clouds,28.42,81,100,1.81,CN
237,Victoria,22.2855,114.1577,scattered clouds,67.17,90,35,4.0,HK
238,Dagua,3.6569,-76.6886,overcast clouds,81.1,98,99,3.11,CO
239,Flinders,-34.5833,150.8552,light rain,70.88,88,100,7.0,AU
240,Saint-Pierre,-21.3393,55.4781,overcast clouds,76.68,69,100,5.75,RE
241,Nanortalik,60.1432,-45.2371,overcast clouds,29.59,77,100,9.48,GL
242,Rawalpindi,33.6007,73.0679,clear sky,48.24,70,3,3.38,PK
243,Vung Tau,10.346,107.0843,overcast clouds,78.69,76,100,12.01,VN
244,Portland,45.5234,-122.6762,few clouds,68.58,30,20,21.85,US
245,Wuzhou,23.4833,111.3167,overcast clouds,52.07,89,100,3.06,CN
246,Ginir,7.1333,40.7,scattered clouds,57.65,32,27,2.86,ET
247,Mareeba,-17.0,145.4333,scattered clouds,81.66,76,25,4.32,AU
248,Hasaki,35.7333,140.8333,scattered clouds,37.29,52,28,12.68,JP
249,Bethel,41.3712,-73.414,broken clouds,48.31,60,67,9.17,US
250,Eufaula,31.8913,-85.1455,clear sky,66.24,37,0,5.75,US
251,Provideniya,64.3833,-173.3,clear sky,-12.21,87,7,7.83,RU
252,Lavrentiya,65.5833,-171.0,scattered clouds,-21.32,92,25,7.23,RU
253,Progreso,21.2833,-89.6667,broken clouds,82.51,81,55,14.92,MX
254,Izhma,65.0083,53.9113,overcast clouds,14.07,90,100,11.41,RU
255,Algiers,36.7525,3.042,scattered clouds,49.82,82,40,3.44,DZ
256,Oinoi,38.3235,23.6101,few clouds,51.51,78,16,1.99,GR
257,Diapaga,12.0708,1.7889,clear sky,75.13,11,2,8.28,BF
258,Billings,45.7833,-108.5007,broken clouds,36.16,48,75,23.02,US
259,Novikovo,51.1537,37.8879,overcast clouds,31.37,82,100,6.08,RU
260,Novobirilyussy,56.9514,90.6661,clear sky,-10.79,96,6,5.01,RU
261,Prainha,-1.8,-53.48,overcast clouds,76.15,86,92,3.58,BR
262,Jackson,42.4165,-122.8345,clear sky,71.92,40,0,1.01,US
263,Lagoa,39.05,-27.9833,overcast clouds,59.45,75,99,14.36,PT
264,Andenes,69.3143,16.1194,overcast clouds,23.07,80,95,12.66,NO
265,Hilo,19.7297,-155.09,scattered clouds,82.13,60,40,10.36,US
266,Nakusp,50.2499,-117.8023,overcast clouds,35.94,75,99,1.14,CA
267,Constitucion,-35.3333,-72.4167,clear sky,59.4,71,0,10.85,CL
268,Santo Augusto,-27.8508,-53.7772,broken clouds,81.86,62,72,7.23,BR
269,San Joaquin,37.9333,-121.3011,clear sky,78.01,35,0,3.44,US
270,Suez,29.9737,32.5263,clear sky,52.5,69,0,6.4,EG
271,Iwanai,42.9744,140.5089,overcast clouds,27.93,83,97,3.83,JP
272,Quchan,37.106,58.5095,overcast clouds,36.18,98,100,3.44,IR
273,Baykit,61.67,96.37,few clouds,-18.35,98,24,1.5,RU
274,Alcudia,39.8532,3.1214,scattered clouds,52.38,80,48,10.11,ES
275,Jiaocheng,24.6774,116.1389,overcast clouds,56.39,89,97,3.62,CN
276,Cascais,38.6979,-9.4215,overcast clouds,59.05,72,100,15.01,PT
277,Harper,4.375,-7.7169,scattered clouds,78.58,87,38,5.97,LR
278,Palmer,42.1584,-72.3287,broken clouds,48.61,44,75,11.5,US
279,Khao Yoi,13.2403,99.8243,broken clouds,80.98,74,71,0.98,TH
280,Huilong,31.8111,121.655,overcast clouds,47.03,77,99,8.23,CN
281,Latung,5.5,120.8833,broken clouds,81.09,76,77,5.03,PH
282,Mount Gambier,-37.8333,140.7667,clear sky,66.11,59,0,14.97,AU
283,Klaksvik,62.2266,-6.589,overcast clouds,40.12,96,100,27.29,FO
284,Itaituba,-4.2761,-55.9836,overcast clouds,75.24,94,100,0.63,BR
285,Iquique,-20.2208,-70.1431,few clouds,71.64,73,15,5.08,CL
286,Sisimiut,66.9395,-53.6735,snow,21.33,96,100,3.38,GL
287,Carnarvon,-24.8667,113.6333,scattered clouds,78.87,73,40,3.44,AU
288,Jiuquan,39.7432,98.5174,overcast clouds,24.55,55,95,4.83,CN
289,Ixtapa,20.7,-105.2,few clouds,76.23,53,20,10.36,MX
290,Biltine,14.5333,20.9167,clear sky,66.92,13,4,11.63,TD
291,Zhigansk,66.7697,123.3711,overcast clouds,-33.77,100,95,4.56,RU
292,Kupang,-10.1667,123.5833,overcast clouds,79.86,83,100,1.79,ID
293,Pyapon,16.2833,95.6833,scattered clouds,65.48,80,27,7.16,MM
294,Sabzevar,36.2126,57.6819,overcast clouds,43.72,71,96,7.18,IR
295,Terra Santa,-2.1042,-56.4869,light rain,75.36,94,99,0.81,BR
296,Kahului,20.8947,-156.47,few clouds,85.26,65,20,14.97,US
297,Dunedin,-45.8742,170.5036,overcast clouds,61.81,66,100,7.0,NZ
298,Faanui,-16.4833,-151.75,broken clouds,82.06,72,65,14.85,PF
299,Gizo,-8.103,156.8419,light rain,83.08,70,98,8.39,SB
300,Pisco,-13.7,-76.2167,clear sky,75.25,60,0,21.85,PE
301,Longyearbyen,78.2186,15.6401,light snow,19.24,86,75,3.44,SJ
302,Were Ilu,10.6,39.4333,clear sky,49.64,67,9,6.2,ET
303,Cedar City,37.6775,-113.0619,clear sky,56.37,20,0,17.27,US
304,Saint-Augustin,51.226,-58.6502,few clouds,6.55,86,20,7.2,CA
305,Aykhal,66.0,111.5,overcast clouds,-11.67,100,97,5.46,RU
306,Tiarei,-17.5333,-149.3333,broken clouds,86.02,74,63,13.98,PF
307,Bilma,18.6853,12.9164,clear sky,60.96,24,0,7.25,NE
308,Bonavista,48.6499,-53.1147,scattered clouds,38.12,78,47,17.92,CA
309,Esso,55.9333,158.7,few clouds,5.59,81,21,2.71,RU
310,Gayny,60.3071,54.3241,overcast clouds,14.59,95,100,6.53,RU
311,Kutum,14.2,24.6667,clear sky,52.57,21,0,6.67,SD
312,Paramonga,-10.6667,-77.8333,scattered clouds,71.85,80,47,9.82,PE
313,Adeje,28.1227,-16.726,clear sky,67.75,54,0,1.99,ES
314,Pijijiapan,15.7011,-93.23,clear sky,79.86,62,1,3.42,MX
315,Torbay,47.6666,-52.7314,clear sky,36.57,82,0,23.02,CA
316,Odienne,9.51,-7.5692,scattered clouds,73.38,14,30,5.26,CI
317,Suclayin,15.7568,121.5503,broken clouds,73.99,90,68,2.48,PH
318,Koungou,-12.7336,45.2042,clear sky,78.51,83,0,4.61,YT
319,Baruun-Urt,46.6806,113.2792,overcast clouds,-5.94,98,100,4.47,MN
320,Roald,62.5833,6.1333,broken clouds,39.34,81,75,25.32,NO
321,Zima,53.9202,102.0442,broken clouds,-34.17,100,51,1.19,RU
322,Broken Hill,-31.95,141.4333,clear sky,69.51,40,0,14.97,AU
323,Davila,18.4726,120.5763,overcast clouds,71.58,68,95,2.42,PH
324,Severomuysk,56.1481,113.4267,few clouds,-32.24,94,16,1.92,RU
325,Noumea,-22.2763,166.4572,broken clouds,87.78,99,68,8.81,NC
326,Hoa Binh,20.8133,105.3383,overcast clouds,58.89,95,100,2.24,VN
327,Acapulco,16.8634,-99.8901,broken clouds,82.22,65,75,9.22,MX
328,Singapore,1.2897,103.8501,broken clouds,75.2,88,75,3.44,SG
329,Santa Maria Da Vitoria,-13.3947,-44.1886,broken clouds,76.84,68,57,1.97,BR
330,Vestmannaeyjar,63.4427,-20.2734,overcast clouds,33.35,71,100,9.75,IS
331,Challapata,-18.9,-66.7667,scattered clouds,55.54,44,42,4.56,BO
332,Khash,28.2211,61.2158,clear sky,46.81,37,0,2.24,IR
333,Udimskiy,61.1417,45.9144,overcast clouds,13.75,98,95,4.45,RU
334,Eastbourne,50.7687,0.2845,overcast clouds,45.0,85,98,1.01,GB
335,Jaru,-10.4389,-62.4664,light rain,74.73,95,96,2.62,BR
336,Mandurah,-32.55,115.7,scattered clouds,68.16,73,40,14.29,AU
337,Moose Factory,51.2585,-80.6094,overcast clouds,-7.6,77,100,17.27,CA
338,Kargat,55.1956,80.2811,overcast clouds,-20.15,100,100,5.68,RU
339,Kununurra,-15.7667,128.7333,moderate rain,76.98,88,40,8.05,AU
340,Fort Nelson,58.8053,-122.7002,overcast clouds,6.39,66,100,2.3,CA
