City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
205,La Primavera,CO,87.87,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
218,Vao,NC,80.83,light rain,-22.6667,167.4833,Hotel Kou-Bugny
221,Ahipara,NZ,79.86,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
222,Sao Filipe,CV,78.84,broken clouds,14.8961,-24.4956,Hotel Xaguate
228,Bachaquero,VE,82.24,broken clouds,9.9694,-71.1494,casa de los dinosaurios
238,Dagua,CO,81.1,overcast clouds,3.6569,-76.6886,Hostal Río Dagua
240,Saint-Pierre,RE,76.68,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
243,Vung Tau,VN,78.69,overcast clouds,10.346,107.0843,Green hotel
247,Mareeba,AU,81.66,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
253,Progreso,MX,82.51,broken clouds,21.2833,-89.6667,Playa Linda Hotel
261,Prainha,BR,76.15,overcast clouds,-1.8,-53.48,Casa Rocha
265,Hilo,US,82.13,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
268,Santo Augusto,BR,81.86,broken clouds,-27.8508,-53.7772,Hotel Marco Polo
269,San Joaquin,US,78.01,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
277,Harper,LR,78.58,scattered clouds,4.375,-7.7169,Screensaver
279,Khao Yoi,TH,80.98,broken clouds,13.2403,99.8243,เปิ้ล ทำเบาะ
284,Itaituba,BR,75.24,overcast clouds,-4.2761,-55.9836,Hotel Campos
287,Carnarvon,AU,78.87,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
289,Ixtapa,MX,76.23,few clouds,20.7,-105.2,Hotel Plaza Providencia
292,Kupang,ID,79.86,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
295,Terra Santa,BR,75.36,light rain,-2.1042,-56.4869,Hotel Sarah
296,Kahului,US,85.26,few clouds,20.8947,-156.47,Maui Seaside Hotel
298,Faanui,PF,82.06,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
299,Gizo,SB,83.08,light rain,-8.103,156.8419,Imagination Island
300,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
306,Tiarei,PF,86.02,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
314,Pijijiapan,MX,79.86,clear sky,15.7011,-93.23,Hotel Rosita
318,Koungou,YT,78.51,clear sky,-12.7336,45.2042,Villa Netibor
325,Noumea,NC,87.78,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
327,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
328,Singapore,SG,75.2,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
329,Santa Maria Da Vitoria,BR,76.84,broken clouds,-13.3947,-44.1886,Pousada Rio Current
339,Kununurra,AU,76.98,moderate rain,-15.7667,128.7333,Hotel Kununurra
346,Souillac,MU,75.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
347,Mackay,AU,83.68,scattered clouds,-21.15,149.2,International Lodge Motel
348,Turbana,CO,81.41,scattered clouds,10.2717,-75.4422,Cartagena Hills
352,Morondava,MG,79.27,light rain,-20.2833,44.2833,La Case Bambou
353,Jardim,BR,81.54,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
354,Puerto Escondido,MX,85.03,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
360,Goya,AR,81.05,broken clouds,-29.14,-59.2626,Apart Costanera Goya
