City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
58,Hermanus,-34.4187,19.2345,63.9,93,91,3.22,ZA,2022-02-07 01:19:29
59,Khatanga,71.9667,102.5,-15.39,98,99,9.24,RU,2022-02-07 01:19:30
60,Verkhoyansk,67.5447,133.385,-34.31,98,100,1.21,RU,2022-02-07 01:19:30
61,Bogotol,56.2078,89.5342,2.88,94,100,4.97,RU,2022-02-07 01:19:30
62,Arlit,18.7369,7.3853,62.87,11,0,9.08,NE,2022-02-07 01:15:11
63,Rumford,44.5537,-70.5509,17.2,99,100,1.81,US,2022-02-07 01:19:31
64,Vaini,-21.2,-175.2,78.96,94,100,12.66,TO,2022-02-07 01:14:12
65,Kodiak,57.79,-152.4072,36.91,44,100,6.91,US,2022-02-07 01:19:09
66,Kananga,-5.8958,22.4178,67.93,95,100,0.34,CD,2022-02-07 01:19:32
67,Ponta Delgada,37.7333,-25.6667,60.49,88,75,12.66,PT,2022-02-07 01:19:32
68,Sorland,67.667,12.6934,36.0,63,100,7.76,NO,2022-02-07 01:19:32
69,Chuy,-33.6971,-53.4616,63.05,67,0,14.41,UY,2022-02-07 01:16:31
70,Cidreira,-30.1811,-50.2056,69.87,71,10,11.12,BR,2022-02-07 01:19:33
71,Dicabisagan,17.0818,122.4157,74.28,89,100,11.1,PH,2022-02-07 01:19:34
72,Makasar,-5.14,119.4221,78.85,100,40,4.61,ID,2022-02-07 01:19:34
73,Thompson,55.7435,-97.8558,-7.44,71,100,4.61,CA,2022-02-07 01:19:34
74,Malo,45.6603,11.4075,43.88,88,69,1.99,IT,2022-02-07 01:19:35
75,Coffs Harbour,-30.3,153.1333,69.76,78,75,18.41,AU,2022-02-07 01:19:35
76,Cape Town,-33.9258,18.4232,64.11,85,20,1.01,ZA,2022-02-07 01:19:36
77,Ishim,56.1128,69.4902,-5.06,88,96,6.2,RU,2022-02-07 01:19:36
78,Lashio,22.9333,97.75,47.77,71,0,1.34,MM,2022-02-07 01:19:36
79,Dumas,35.8656,-101.9732,40.42,75,0,8.05,US,2022-02-07 01:19:37
80,Dali,25.7,100.1833,36.64,78,3,1.97,CN,2022-02-07 01:19:37
81,Ojinaga,29.5667,-104.4167,58.15,26,0,6.91,MX,2022-02-07 01:19:38
82,Ponta Do Sol,32.6667,-17.1,63.23,68,9,10.22,PT,2022-02-07 01:19:38
83,Padang,-0.9492,100.3543,75.25,77,100,1.66,ID,2022-02-07 01:19:38
84,Narsaq,60.9167,-46.05,8.82,82,100,3.62,GL,2022-02-07 01:19:39
85,Geraldton,-28.7667,114.6,74.12,43,75,19.57,AU,2022-02-07 01:19:39
86,Mount Isa,-20.7333,139.5,85.77,45,5,11.5,AU,2022-02-07 01:14:16
87,Christchurch,-43.5333,172.6333,63.91,63,40,1.01,NZ,2022-02-07 01:19:40
88,Mayumba,-3.432,10.6554,76.5,92,67,6.78,GA,2022-02-07 01:19:40
89,Ryotsu,38.0833,138.4333,35.56,60,100,15.9,JP,2022-02-07 01:19:41
90,Provideniya,64.3833,-173.3,3.31,66,0,4.47,RU,2022-02-07 01:16:47
91,California City,35.1258,-117.9859,66.02,13,0,0.0,US,2022-02-07 01:15:09
92,Sabzevar,36.2126,57.6819,35.37,68,2,4.54,IR,2022-02-07 01:16:28
93,Zhigansk,66.7697,123.3711,-33.18,100,92,4.14,RU,2022-02-07 01:18:38
94,Mahebourg,-20.4081,57.7,77.29,83,40,6.91,MU,2022-02-07 01:20:42
95,Dikson,73.5069,80.5464,-15.29,98,100,14.74,RU,2022-02-07 01:20:42
